jobTitle,department,earnings,year,serviceArea,hourlyWage,status
city manager,city manager's office,258704.94,2015.0,city manager,124.38,full time
deputy city manager,city manager's office,174086.45,2015.0,city manager,83.7,full time
chief of police,office of the chief,169963.75,2015.0,police services,81.71,full time
chief financial officer,finance administration,163179.19,2015.0,financial services,78.45,full time
assistant city manager,city manager's office,159519.02,2015.0,city manager,76.69,full time
assistant city manager,city manager's office,156335.94,2015.0,city manager,75.16,full time
city attorney,city attorney's office,139572.62,2015.0,city attorney,67.1,full time
police assistant chief,office of the chief,134733.91,2015.0,police services,64.78,full time
chief information officer,information technology,130630.23,2015.0,information and employee services,62.8,full time
systems analyst,information technology,128388.34,2015.0,information and employee services,61.73,full time
police deputy chief,patrol,126522.04,2015.0,police services,60.83,full time
dir of infrastructure services,engineering,126367.77,2015.0,planning development & transportation,60.75,full time
police lieutenant,patrol,126048.18,2015.0,police services,60.6,full time
police sergeant,patrol,125274.6,2015.0,police services,60.23,full time
water eng field operations mgr,ut water systems engr div,124380.92,2015.0,utility services,59.8,full time
police sergeant,patrol,124012.42,2015.0,police services,59.62,full time
director of community services,community services admin,122836.56,2015.0,community and operation services,59.06,full time
police officer,investigations,122776.24,2015.0,police services,59.03,full time
operations services director,operation services,118483.14,2015.0,community and operation services,56.96,full time
police lieutenant,patrol,118309.73,2015.0,police services,56.88,full time
police lieutenant,patrol,118163.53,2015.0,police services,56.81,full time
police lieutenant,investigations,117998.05,2015.0,police services,56.73,full time
police sergeant,investigations,117687.95,2015.0,police services,56.58,full time
police officer,investigations,117291.69,2015.0,police services,56.39,full time
police lieutenant,patrol,117274.61,2015.0,police services,56.38,full time
util cust connections mgr,utilities customer connections,115898.52,2015.0,utility services,55.72,full time
information security architect,information technology,115541.93,2015.0,information and employee services,55.55,full time
wtr resourcs/treatmnt opns mgr,ut water production div,115395.21,2015.0,utility services,55.48,full time
pdt deputy director,pdt administration,115371.32,2015.0,planning development & transportation,55.47,full time
supervisory crew chief,electric field services,115225.61,2015.0,utility services,55.4,full time
police lieutenant,patrol,114883.63,2015.0,police services,55.23,full time
police sergeant,patrol,114877.78,2015.0,police services,55.23,full time
line crew chief,electric field services,114419.33,2015.0,utility services,55.01,full time
sr assistant city attorney,city attorney's office,113946.0,2015.0,city attorney,54.78,full time
standards engineering mgr,ut standards engineering div,112519.01,2015.0,planning development & transportation,54.1,full time
water systems eng mgr,ut water utilities engineering,111377.5,2015.0,planning development & transportation,53.55,full time
deputy city attorney,city attorney's office,110472.01,2015.0,city attorney,53.11,full time
line crew chief,electric field services,109725.96,2015.0,utility services,52.75,full time
sr database administrator,information technology,109444.08,2015.0,information and employee services,52.62,full time
mgr of cap prjcts/city engneer,engineering,109132.51,2015.0,planning development & transportation,52.47,full time
transfort/dar general manager,transfort / dial-a-ride,109070.2,2015.0,planning development & transportation,52.44,full time
chief engineer,ut water systems engr div,108927.14,2015.0,utility services,52.37,full time
sr database administrator,information technology,108672.8,2015.0,information and employee services,52.25,full time
it dir-infrastructure svs,information technology,107858.0,2015.0,information and employee services,51.85,full time
police officer,investigations,107811.9,2015.0,police services,51.83,full time
police lieutenant,investigations,107068.55,2015.0,police services,51.48,full time
police sergeant,patrol,106869.0,2015.0,police services,51.38,full time
police sergeant,investigations,106797.96,2015.0,police services,51.35,full time
economic health director,economic health office,106553.44,2015.0,sustainability services,51.23,full time
environmental services directr,environmental services,106216.54,2015.0,sustainability services,51.07,full time
police lieutenant,patrol,105999.75,2015.0,police services,50.96,full time
sr electrical engineer,ut electric systems eng div,105879.12,2015.0,utility services,50.9,full time
police sergeant,patrol,105858.19,2015.0,police services,50.89,full time
municipal judge,municipal court,105846.57,2015.0,judicial services,50.89,full time
police officer,investigations,105842.16,2015.0,police services,50.89,full time
police officer,investigations,105492.71,2015.0,police services,50.72,full time
police sergeant,investigations,105327.38,2015.0,police services,50.64,full time
asst operations services dir,operation services,105036.55,2015.0,community and operation services,50.5,full time
city clerk,city clerk's office,104988.29,2015.0,deputy city manager,50.48,full time
line crew chief,electric field services,104872.75,2015.0,utility services,50.42,full time
line crew chief,electric field services,104450.32,2015.0,utility services,50.22,full time
electric lineworker,electric field services,104344.64,2015.0,utility services,50.17,full time
police sergeant,patrol,104288.35,2015.0,police services,50.14,full time
streets superintendent,streets,103953.02,2015.0,planning development & transportation,49.98,full time
police sergeant,patrol,103681.17,2015.0,police services,49.85,full time
line crew chief,electric field services,103187.68,2015.0,utility services,49.61,full time
police sergeant,patrol,102463.97,2015.0,police services,49.26,full time
police sergeant,investigations,102155.83,2015.0,police services,49.11,full time
sr network engineer,information technology,102134.85,2015.0,information and employee services,49.1,full time
police sergeant,investigations,101964.71,2015.0,police services,49.02,full time
application svcs mgr-utilities,information technology,101485.12,2015.0,information and employee services,48.79,full time
police officer,patrol,101466.25,2015.0,police services,48.78,full time
it director - application svcs,information technology,101396.5,2015.0,information and employee services,48.75,full time
line crew chief,electric field services,101320.29,2015.0,utility services,48.71,full time
special projects engineer,engineering,100896.83,2015.0,planning development & transportation,48.51,full time
recreation director,recreation,100801.03,2015.0,community and operation services,48.46,full time
sr electrical engineer,l&p operations service unit,100787.6,2015.0,utility services,48.46,full time
police sergeant,patrol,100677.7,2015.0,police services,48.4,full time
water resources manager,ut water resources div,100580.83,2015.0,utility services,48.36,full time
dir of park planning & dev,park planning & development,100398.75,2015.0,community and operation services,48.27,full time
pavement mgmt program mgr,streets,100102.22,2015.0,planning development & transportation,48.13,full time
strategic financial plnng mgr,utility financial operations,99912.78,2015.0,utility services,48.03,full time
energy services manager,utilities customer connections,99783.94,2015.0,utility services,47.97,full time
sr electrical engineer,ut standards engineering div,99669.12,2015.0,planning development & transportation,47.92,full time
police officer,investigations,99517.52,2015.0,police services,47.84,full time
development review manager,engineering,99506.78,2015.0,planning development & transportation,47.84,full time
street oversizing program mgr,engineering,99491.78,2015.0,planning development & transportation,47.83,full time
controller,finance administration,99275.44,2015.0,financial services,47.73,full time
police sergeant,patrol,99216.97,2015.0,police services,47.7,full time
sr software engineer,information technology,98994.41,2015.0,information and employee services,47.59,full time
cultural svcs and fac director,cultural services,98714.1,2015.0,community and operation services,47.46,full time
sr software engineer,information technology,98642.38,2015.0,information and employee services,47.42,full time
line equipment crew chief,electric field services,98392.16,2015.0,utility services,47.3,full time
sr electrical engineer,l&p operations service unit,98060.21,2015.0,utility services,47.14,full time
planning manager,comm dev & neighborhood svcs,98042.28,2015.0,planning development & transportation,47.14,full time
sr network engineer,information technology,98009.38,2015.0,information and employee services,47.12,full time
police officer,investigations,97242.46,2015.0,police services,46.75,full time
police officer,patrol,96991.14,2015.0,police services,46.63,full time
deputy city attorney,city attorney's office,96680.74,2015.0,city attorney,46.48,full time
services crew chief,electric field services,96284.82,2015.0,utility services,46.29,full time
special services supervisor,electric field services,96162.04,2015.0,utility services,46.23,full time
police systems analyst,information technology,96020.27,2015.0,information and employee services,46.16,full time
police officer,patrol,95952.07,2015.0,police services,46.13,full time
police officer,investigations,95929.64,2015.0,police services,46.12,full time
electric lineworker,electric field services,95891.43,2015.0,utility services,46.1,full time
sr database analyst,information technology,95582.81,2015.0,information and employee services,45.95,full time
police officer,patrol,94978.14,2015.0,police services,45.66,full time
police psychologist,office of the chief,94909.7,2015.0,police services,45.63,full time
meter systems supervisor,ut standards engineering div,94897.17,2015.0,planning development & transportation,45.62,full time
systems administration mgr,information technology,94876.63,2015.0,information and employee services,45.61,full time
water production manager,ut water production div,94605.0,2015.0,utility services,45.48,full time
police sergeant,office of the chief,94557.47,2015.0,police services,45.46,full time
pavement engineer,streets,94500.58,2015.0,planning development & transportation,45.43,full time
police officer,investigations,94362.57,2015.0,police services,45.37,full time
police officer,patrol,94244.03,2015.0,police services,45.31,full time
electric lineworker,electric field services,94159.55,2015.0,utility services,45.27,full time
police officer,patrol,93904.28,2015.0,police services,45.15,full time
police sergeant,patrol,93574.93,2015.0,police services,44.99,full time
electric lineworker,electric field services,93518.04,2015.0,utility services,44.96,full time
civil engineer iii,engineering,93392.64,2015.0,planning development & transportation,44.9,full time
sr database analyst,information technology,93381.55,2015.0,information and employee services,44.89,full time
police officer,investigations,93332.56,2015.0,police services,44.87,full time
police officer,patrol,93262.34,2015.0,police services,44.84,full time
strategic finance manager,finance administration,93064.05,2015.0,financial services,44.74,full time
police officer,patrol,93054.24,2015.0,police services,44.74,full time
construction inspector,streets,93002.18,2015.0,planning development & transportation,44.71,full time
chief building official,comm dev & neighborhood svcs,92642.03,2015.0,planning development & transportation,44.54,full time
information services manager,information technology,92482.06,2015.0,information and employee services,44.46,full time
electric lineworker,electric field services,92221.57,2015.0,utility services,44.34,full time
police officer,investigations,92045.59,2015.0,police services,44.25,full time
police officer,patrol,91985.84,2015.0,police services,44.22,full time
budget/perf measmnt mgr-inactv,budget,91868.63,2015.0,financial services,44.17,full time
special projects manager,ut water systems engr div,91785.17,2015.0,utility services,44.13,full time
special projects manager,ut water systems engr div,91608.12,2015.0,utility services,44.04,full time
special projects manager,ut water systems engr div,91567.07,2015.0,utility services,44.02,full time
recreation area manager,recreation,91558.97,2015.0,community and operation services,44.02,full time
police officer,patrol,91548.71,2015.0,police services,44.01,full time
police sergeant,office of the chief,91475.17,2015.0,police services,43.98,full time
police officer,patrol,91446.69,2015.0,police services,43.96,full time
police officer,patrol,91353.72,2015.0,police services,43.92,full time
special projects manager,ut water systems engr div,91340.1,2015.0,utility services,43.91,full time
civil engineer iii,ut water systems engr div,91330.62,2015.0,utility services,43.91,full time
assistant city attorney ii,city attorney's office,91313.04,2015.0,city attorney,43.9,full time
sr energy services engineer,utilities customer connections,91266.25,2015.0,utility services,43.88,full time
electric lineworker,electric field services,91246.96,2015.0,utility services,43.87,full time
sr energy services engineer,utilities customer connections,91028.86,2015.0,utility services,43.76,full time
electric lineworker,electric field services,90984.25,2015.0,utility services,43.74,full time
sr construction inspector,engineering,90938.59,2015.0,planning development & transportation,43.72,full time
line crew chief,electric field services,90914.92,2015.0,utility services,43.71,full time
police officer,patrol,90907.38,2015.0,police services,43.71,full time
assistant city attorney ii,city attorney's office,90883.37,2015.0,city attorney,43.69,full time
police officer,patrol,90552.25,2015.0,police services,43.53,full time
special projects manager,ut water systems engr div,90461.3,2015.0,utility services,43.49,full time
network administration mgr,information technology,90454.02,2015.0,information and employee services,43.49,full time
civil engineer iii,park planning & development,90447.07,2015.0,community and operation services,43.48,full time
special projects manager,ut water systems engr div,90445.25,2015.0,utility services,43.48,full time
sr construction inspector,streets,90385.55,2015.0,planning development & transportation,43.45,full time
electric lineworker,electric field services,90365.33,2015.0,utility services,43.44,full time
police officer,patrol,90309.89,2015.0,police services,43.42,full time
police officer,patrol,90297.66,2015.0,police services,43.41,full time
police officer,investigations,90129.56,2015.0,police services,43.33,full time
director of pdt,pdt administration,90040.35,2015.0,planning development & transportation,43.29,full time
supervisory crew chief,electric field services,89955.08,2015.0,utility services,43.25,full time
police officer,investigations,89809.38,2015.0,police services,43.18,full time
police officer,patrol,89685.98,2015.0,police services,43.12,full time
police officer,office of the chief,89553.66,2015.0,police services,43.05,full time
policy and project manager,l&p operations service unit,89492.21,2015.0,utility services,43.03,full time
police officer,patrol,89308.28,2015.0,police services,42.94,full time
electric lineworker,electric field services,89127.69,2015.0,utility services,42.85,full time
sr energy services engineer,utilities customer connections,89110.55,2015.0,utility services,42.84,full time
police officer,office of the chief,89048.32,2015.0,police services,42.81,full time
electrical services supervisor,electric field services,89045.43,2015.0,utility services,42.81,full time
police officer,investigations,88973.87,2015.0,police services,42.78,full time
police officer,patrol,88862.0,2015.0,police services,42.72,full time
police officer,investigations,88712.44,2015.0,police services,42.65,full time
police deputy chief,investigations,88549.31,2015.0,police services,42.57,full time
information services manager,information technology,88264.03,2015.0,information and employee services,42.43,full time
lan and systems administrator,information technology,88257.6,2015.0,information and employee services,42.43,full time
police officer,patrol,88000.12,2015.0,police services,42.31,full time
assistant city attorney ii,city attorney's office,87989.31,2015.0,city attorney,42.3,full time
police officer,patrol,87971.66,2015.0,police services,42.29,full time
electric lineworker,electric field services,87946.06,2015.0,utility services,42.28,full time
systems analyst,information technology,87851.46,2015.0,information and employee services,42.24,full time
project engineering supervisor,ut electric systems eng div,87850.42,2015.0,utility services,42.24,full time
police officer,office of the chief,87608.99,2015.0,police services,42.12,full time
chief planner,comm dev & neighborhood svcs,87591.57,2015.0,planning development & transportation,42.11,full time
police officer,investigations,87525.14,2015.0,police services,42.08,full time
police officer,patrol,87491.99,2015.0,police services,42.06,full time
lead maintenance specialist,ut water production div,87364.78,2015.0,utility services,42.0,full time
police officer,patrol,87319.22,2015.0,police services,41.98,full time
police officer,patrol,87228.75,2015.0,police services,41.94,full time
fc moves program manager,fc moves,87135.12,2015.0,planning development & transportation,41.89,full time
police officer,investigations,86950.22,2015.0,police services,41.8,full time
police officer,patrol,86920.1,2015.0,police services,41.79,full time
police officer,patrol,86886.52,2015.0,police services,41.77,full time
police officer,patrol,86797.95,2015.0,police services,41.73,full time
police officer,investigations,86594.49,2015.0,police services,41.63,full time
police officer,patrol,86535.2,2015.0,police services,41.6,full time
police officer,patrol,86455.11,2015.0,police services,41.56,full time
water resources engineer,ut water resources div,86403.15,2015.0,utility services,41.54,full time
police officer,patrol,86201.29,2015.0,police services,41.44,full time
police officer,office of the chief,86160.31,2015.0,police services,41.42,full time
police officer,patrol,86143.35,2015.0,police services,41.42,full time
plans analyst,comm dev & neighborhood svcs,86138.7,2015.0,planning development & transportation,41.41,full time
police officer,investigations,86090.58,2015.0,police services,41.39,full time
police officer,patrol,86083.19,2015.0,police services,41.39,full time
police officer,patrol,86061.23,2015.0,police services,41.38,full time
civil engineer ii,engineering,86015.31,2015.0,planning development & transportation,41.35,full time
police officer,patrol,86007.8,2015.0,police services,41.35,full time
police officer,patrol,85926.64,2015.0,police services,41.31,full time
facilities project manager,operation services,85909.32,2015.0,community and operation services,41.3,full time
police officer,patrol,85790.91,2015.0,police services,41.25,full time
utility rate analyst,utility financial operations,85747.5,2015.0,utility services,41.22,full time
police sergeant,patrol,85728.22,2015.0,police services,41.22,full time
civil engineer ii,ut water utilities engineering,85641.64,2015.0,planning development & transportation,41.17,full time
police officer,patrol,85586.49,2015.0,police services,41.15,full time
police officer,patrol,85556.72,2015.0,police services,41.13,full time
police officer,patrol,85453.16,2015.0,police services,41.08,full time
police officer,investigations,85414.68,2015.0,police services,41.06,full time
sr network engineer,information technology,85116.05,2015.0,information and employee services,40.92,full time
crew chief,streets,85079.93,2015.0,planning development & transportation,40.9,full time
police officer,investigations,85073.13,2015.0,police services,40.9,full time
police officer,patrol,85010.68,2015.0,police services,40.87,full time
police officer,patrol,85000.46,2015.0,police services,40.87,full time
police officer,patrol,84998.21,2015.0,police services,40.86,full time
