"Job Title","Department","2016 Earnings"
"CITY MANAGER","CITY MANAGER'S OFFICE","$264,077.56"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$191,141.34"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","$177,600.92"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","$173,473.09"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","$169,134.27"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","$166,563.61"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","$165,041.42"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","$163,905.09"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","$162,739.03"
"POLICE ASSISTANT CHIEF","OFFICE OF THE CHIEF","$144,158.95"
"SPECIAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","$142,339.72"
"DIRECTOR OF PDT","PDT ADMINISTRATION","$140,668.69"
"POLICE DEPUTY CHIEF","PATROL","$139,974.75"
"POLICE DEPUTY CHIEF","POLICE INFORMATION SERVICES","$139,974.75"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$137,403.45"
"POLICE DEPUTY CHIEF","INVESTIGATIONS","$136,255.81"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$135,015.00"
"CHIEF SUSTAINABILITY OFFICER","SUSTAINABILITY SERVICES ADMIN","$134,514.00"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","$133,581.12"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$133,543.25"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","$130,685.00"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","$130,557.00"
"LIGHT AND POWER OPERATIONS MGR","L&P OPERATIONS SERVICE UNIT","$130,015.00"
"POLICE LIEUTENANT","PATROL","$129,678.28"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER UTL ENGINEERING DIV","$129,636.99"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","$129,394.49"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","$128,861.00"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$128,216.56"
"POLICE SERGEANT","PATROL","$128,179.89"
"WATER ENG FIELD OPERATIONS MGR","UT WATER SYSTEMS ENGR DIV","$128,051.41"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$127,099.25"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$126,904.31"
"DIR OF INFRASTRUCTURE SERVICES","ENGINEERING","$126,861.46"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$126,515.94"
"POLICE SERGEANT","PATROL","$126,408.29"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$125,920.03"
"POLICE LIEUTENANT","PATROL","$124,778.91"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$124,083.22"
"PROCESS/SYSTEMS SUPERVISOR","UT PROCESS & SUPERVIS CNTR DIV","$123,971.56"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$123,726.06"
"POLICE LIEUTENANT","PATROL","$123,455.34"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$123,359.18"
"POLICE LIEUTENANT","INVESTIGATIONS","$122,435.88"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$121,976.43"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","$121,820.60"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","$121,708.81"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","$121,146.37"
"OPERATIONS SERVICES DIRECTOR","OPERATION SERVICES","$121,088.65"
"POLICE LIEUTENANT","PATROL","$121,017.97"
"POLICE LIEUTENANT","OFFICE OF THE CHIEF","$120,095.23"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$120,029.88"
"ELECTRIC SYS DESIGN AND IT MGR","UT ELEC SYSTEM DESIGN & IT DIV","$119,926.04"
"POLICE SERGEANT","INVESTIGATIONS","$119,631.57"
"POLICE SERGEANT","INVESTIGATIONS","$119,561.88"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","$119,413.88"
"POLICE LIEUTENANT","PATROL","$119,326.94"
"POLICE LIEUTENANT","INVESTIGATIONS","$119,167.94"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$119,154.72"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$118,590.58"
"POLICE SERGEANT","PATROL","$118,471.88"
"UTIL CUST CONNECTIONS MGR","UTILITIES CUSTOMER CONNECTIONS","$118,414.72"
"DIR SAFTY, SECURTY & RISK MGMT","SAFETY, SECURITY, & RISK MGMT.","$118,317.33"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$117,993.00"
"PDT DEPUTY DIRECTOR","PDT ADMINISTRATION","$117,947.37"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$117,804.00"
"POLICE SERGEANT","PATROL","$117,724.42"
"WTR RESOURCS/TREATMNT OPNS MGR","UT WATER PRODUCTION DIV","$117,599.17"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","$117,149.40"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$116,831.09"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$116,820.25"
"EMERGENCY SERVICES COMM MGR","POLICE INFORMATION SERVICES","$116,291.10"
"COMM DEV & NEIGH SVCS DIRECTOR","COMM DEV & NEIGHBORHOOD SVCS","$116,287.00"
"INFORMATION SECURITY ARCHITECT","INFORMATION TECHNOLOGY","$116,071.64"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$115,844.99"
"STREET OVERSIZING PROGRAM MGR","ENGINEERING","$115,767.91"
"POLICE SERGEANT","PATROL","$115,736.62"
"POLICE LIEUTENANT","PATROL","$115,392.58"
"POLICE SERGEANT","INVESTIGATIONS","$115,019.48"
"POLICE SERGEANT","OFFICE OF THE CHIEF","$114,972.79"
"STANDARDS ENGINEERING MGR","UT STANDARDS ENGINEERING DIV","$114,820.39"
"EXECUTIVE DIRECTOR DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$114,753.76"
"DIR OF PURCHASING & RISK MGMT","PURCHASING","$114,521.47"
"ASST HUMAN RESOURCES DIRECTOR","HUMAN RESOURCES","$114,470.41"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$114,238.58"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$114,171.83"
"POLICE OFFICER","INVESTIGATIONS","$113,753.86"
"WATER SYSTEMS ENG MGR","UT WATER UTL ENGINEERING DIV","$113,302.09"
"MGR OF CAP PRJCTS/CITY ENGNEER","ENGINEERING","$113,224.42"
"MUNICIPAL JUDGE","MUNICIPAL COURT","$113,172.77"
"SR DATABASE ADMINISTRATOR","INFORMATION TECHNOLOGY","$112,772.42"
"CHIEF ENGINEER","UT WATER SYSTEMS ENGR DIV","$112,734.26"
"POLICE SERGEANT","PATROL","$112,733.59"
"POLICE SERGEANT","PATROL","$112,572.30"
"POLICE SERGEANT","INVESTIGATIONS","$112,024.95"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$111,988.61"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$111,982.11"
"WATER PRODUCTION MANAGER","UT WATER PRODUCTION DIV","$111,640.08"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$111,569.90"
